id,popularity,vote_average,vote_count,averageRating,numVotes
324852,29.104,6.451,6560,6.3,
328387,14.439,7.045,6555,6.5,148686
427641,109.045,6.451,6539,,204315
616037,117.087,6.517,,6.1,473221
492188,16.594,7.753,6478,7.9,375070
315162,221.49,8.266,6394,7.9,230807
68735,"37,312",6.364,6340,6.7,297914
447404,33.679,6.953,6314,6.5,199546
619264,29.398,6.986,6308,7.0,329576
337401,"43,222",6.906,6280,5.8,168602
527774,53.503,7.9,6271,,189915
381283,24.705,7.0,6267,6.6,270567
262504,19.857,6.1,6228,5.7,148481
188927,"47,927",6.781,6226,7.0,271747
615457,"Hutch's unknown long-simmering rage is ignited and propels him on a brutal path that will uncover dark secrets he fought to leave behind,\"",8.018,6217,Derek Kolstad,7.4
398978,23.095,7.615,6203,7.8,479040
334543,20.266,8.083,6199,8.0,268799
530385,32.581,7.162,6185,7.1,496608
419704,11.084,6.1,6143,6.5,
439079,357.731,5.9,6076,,199285
241259,34.545,65.5,6025,6.2,136921
334533,27.428,7.912,6017,7.8,
43074,40.052,5.371,5976,,260417
320288,42.341,5.994,5941,5.7,232853
258489,27.807,5.9,5917,6.2,199379
207932,24.901,6.1,5888,6.2,204276
341013,19.968,6.4,5860,6.7,221894
766507,154.579,7.762,5821,7.1,277100
166428,61.84,7.761,5817,7.4,182834
449176,19.843,8.041,5748,7.5,135977
390043,28","214""",6.891,5732,6.9,264715
335988,44.968,6.059,5727,5.2,189104
440021,17.251,6.638,5721,6.6,
331482,"25,76",7.895,5700,7.7,288268
420809,40.547,7.323,5698,6.6,134094
520763,46.269,7.511,,7.2,328572
508439,25.372,7.726,5687,7.3,189024
406990,39.927,7.17,5687,6.8,146167
47933,31.224,5.283,5674,5.2,201715
424783,"30,511",6.73,5639,6.7,211667
302946,22.664,7.062,5635,7.3,402432
401981,24.57,6.533,5596,6.6,219574
333484,33.557,6.418,5545,6.9,248755
497582,22.028,7.3,5541,6.7,254971
545609,46.071,7.356,5516,6.8,293728
370172,"51,295",7.402,5502,7.3,493952
373571,"53,983",6.674,5479,6.0,232106
299687,26.968,5.946,,5.2,127586
505642,131.897,7.193,5475,6.6,400704
302699,25.567,6.41,5473,6.3,242196
436270,104.759,7.014,5467,6.1,308262
346685,15.235,6.434,5427,6.5,213683
460465,49.774,7.081,5427,6.1,222375
423108,152.616,7.491,5407,6.2,
389015,16.904,7.501,5405,7.5,263640
334541,22.316,7.5,5396,,
445571,18.92,6.85,5372,6.9,283820
324668,28.778,6.329,5362,6.6,
274857,33.349,65.36,5333,,249609
140300,Po must face two hugely epic,6.878,5327,"Alessandro Carloni, Jennifer Yuh Nelson","Jonathan Aibel, Glenn Berger, Ethan Reiff, Cyrus Voris"
400106,"18,138",6.156,5296,6.3,210950
570670,22.738,7.129,5282,7.1,290017
260514,62.961,6.853,5263,6.7,156915
396422,53.098,6.6,5258,6.5,172717
527641,29.178,8.287,5254,7.2,98900
507086,113.897,6.787,5225,5.6,
545611,64.278,7.822,5210,7.7,
451048,48.284,7.418,5199,6.5,229610
338967,33.951,6.955,5187,6.6,229347
512195,52.476,6.803,5135,6.3,359529
345920,15.804,7.239,5122,,110016
522627,31.06,7.678,5079,7.8,464769
346698,1069.34,7.279,5074,6.8,704472
335787,79.542,7.002,,6.3,307351
613504,121.032,7.202,5051,,45058
624860,52.143,6.479,5018,5.6,306508
480530,45.172,7.015,5007,7.1,174004
400928,48.714,8.044,4983,7.6,
447365,"318,516",8.023,4941,7.9,486060
316727,32.648,6.394,4919,6.0,120193
369972,25.21,7.045,4896,7.3,219352
375262,18.954,7.537,4855,7.5,261081
718930,79.836,7.495,4804,7.3,546657
583083,25.333,7.703,4796,5.7,45005
332567,19.501,6.35,4789,6.3,155353
399404,18.896,7.35,4761,7.4,245682
311324,"32,601",6.005,4748,5.9,161245
395834,22.336,7.428,4747,7.7,319902
453405,23.667,6.311,4718,5.7,132519
338762,29.852,6.76,4681,5.7,92065
353491,22.183,5.673,4658,5.6,157148
345887,"81,313",6.705,4652,6.7,233091
290859,39.447,6.455,4652,6.2,214732
603692,482.538,7.814,4639,7.6,
637649,56.933,7.669,4632,7.1,242650
447200,"22,604",6.318,4623,,147093
324849,29.4,7.222,4593,7.3,197258
504172,16.833,6.829,4593,7.0,170661
290595,23.024,6.288,4573,6.1,127880
661374,48.932,7.059,,7.1,532730
268896,"44,753",6.13,4528,5.6,138965
308266,"35,508",6.901,4498,,307557
343611,57.904,5.945,4489,6.2,195342
508947,93.162,7.442,,6.9,176862
479455,24.845,5.937,4478,5.6,162544
310307,30.214,71.12,4472,7.2,208750
559969,23.311,6.948,4454,7.3,351807
274855,"84,712",6.11,4441,5.4,134854
399174,18.059,78.57000000000001,4427,7.8,214270
267860,39.273,6.182,4408,5.9,182014
569094,512.336,8.442,4394,8.5,550795
509967,30.14,6.34,4358,6.1,213413
503919,21.971,7.512,4352,7.4,308933
424139,30.021,6.542,4342,6.5,188572
522681,25.429,6.535,4315,6.4,162067
376570,12.858,6.739,4313,6.6,
504608,13.912,7.328,4285,7.3,211851
428078,26.659,6.176,4274,6.1,154780
446354,13.243,6.997,4271,7.2,173646
346910,46.62,5.627,4266,5.3,164566
473033,22.206,7.1,4261,,361499
369885,13.298,6.8,4251,7.1,181517
675353,142.66,7.57,4225,6.5,119235
296524,26.709,6.857,4219,7.1,201929
637920,29.802,8.277,4217,8.2,63991
411088,26.356,8.12,4212,,216869
339988,17.063,5.512,4192,5.4,105989
305470,"39,084",6.3,4189,5.9,120042
278154,38.552,6.073,4175,5.7,87784
325133,17.212,5.817,4164,5.7,138748
756999,51.024,7.701,4158,6.9,271337
381341,15.797,7.9,4149,7.7,78168
337170,22.082,6.862,4137,7.2,236114
291870,"27,388",5.913,4128,5.9,143337
338766,15.749,7.304,4128,7.6,281445
399035,19.526,6.352,4119,6.3,135073
329996,42.707,6.639,4088,6.2,89209
514999,28.429,6.28,,6.1,193108
302401,19.194,7.1,4081,7.3,174385
400155,35.492,6.897,,6.3,102154
524047,35.287,7.14,4013,6.4,176038
640146,173.694,6.431,4009,6.0,278158
387426,18.143,7.389,3999,7.3,143146
501170,26.029,7.158,3966,7.3,247866
476669,52.773,6.794,3932,6.3,198545
438695,83.117,7.918,3919,7.3,103406
567609,26.743,7.057,,6.9,264270
500664,22.725,7.494,3907,7.5,237831
425909,59.556,7.451,3898,7.0,243259
376659,17.404,6.496,3891,6.2,142154
385687,1175.267,72.64999999999999,3881,5.7,149785
484247,15.712,6.629,3876,,191819
356305,16.914,6.376,3874,6.2,136949
631843,39.363,6.387,3856,5.8,186272
376660,20.798,7.174,3833,7.3,153035
547016,19.808,7.168,3826,6.7,212672
397243,"\\"" they discover increasingly bizarre clues that hold the key to her terrifying secrets.\""""",6.755,,"Ian Goldberg, Richard Naing",6.8
205584,32.95,5.629,3817,5.4,137076
338953,73.975,6.721,3816,6.2,195270
696806,39.813,7.052,3799,6.7,261994
872585,"463,384",8.256,,8.2,1093955
460019,27.576,5.963,3763,5.3,75227
351460,17.072,4.235,,4.5,97115
379686,45.412,68.28999999999999,3732,4.5,88292
426426,10.591,7.666,3697,7.6,179632
526896,53.018,6.115,3693,5.1,174386
593643,42.724,7.197,3692,7.1,513745
442249,43.837,5.988,3686,,79102
537996,48.29,7.145,,7.2,186751
569547,14.994,6.768,3672,,
590223,23.156,7.335,3639,6.9,161921
503736,32.495,6.247,3638,5.8,202755
515195,12.82,6.706,3623,6.8,187043
345911,20.444,6.332,3611,6.3,154074
639933,53.571,7.1,3589,7.0,305914
340837,19.807,6.3,3589,6.4,126558
417678,12.543,7.245,3583,6.3,45140
489999,15.725,7.6,,7.6,194794
270487,13.853,59.14,3567,6.3,150906
378064,40.772,8.402,3566,8.2,149319
321258,"18,328",5.946,3558,6.0,108995
508965,"16,058",8.25,3542,8.2,242028
522938,46.016,6.521,3535,6.1,121090
301365,12.96,6.534,3522,6.1,112198
529203,63.456,7.521,3508,6.9,62804
301337,33.251,5.321,3474,5.8,138923
396371,16.556,7.154,3432,7.4,205769
635302,96.797,8.259,3413,8.2,103123
346672,37.242,5.837,3413,5.8,
399057,"20,157",7.015,3407,7.0,218453
481848,36.824,7.572,3406,6.7,65027
360920,36.415,6.828,3401,,115333
448119,"23,387",6.638,3399,5.6,80330
153518,24.75,6.205,3369,,120814
455207,21.434,7.074,3364,6.9,211322
343674,15.508,6.389,3358,6.5,
313297,24.598,7.64,3358,7.7,148207
401104,"11,84",7.218,3354,6.7,59941
449563,13.625,6.225,3343,5.9,77625
462919,9.052,6.324,3338,5.7,42955
371638,14.072,7.113,3316,7.3,172881
635744,15.59,6.539,3316,5.3,
419479,20.139,6.117,3312,,
136799,37.18,6.671,3304,6.4,102204
298250,"128,026",6.2,3301,5.7,104267
290098,"55,173",8.246,3299,,208036
446021,16.267,6.83,3281,7.1,180574
667538,616.74,7.492,3270,,133789
762504,50.448,6.9,,6.8,322500
347031,28.144,6.9,,6.9,142571
397837,13.67,6.969,3252,6.4,61405
308531,37.237,6.006,3247,5.9,107649
399170,20.376,6.729,3221,7.0,178279
985939,135.599,7.253,3217,6.4,144330
300671,44.505,7.27,3211,7.3,182250
400617,19.184,7.3,3211,,163867
536554,100.625,7.219,3210,6.3,184633
521029,51.386,6.429,3196,5.9,103997
400535,"38,523",6.901,3191,7.1,194851
423204,"41,248",6.571,3172,6.4,124261
267935,"30,078",6.253,3136,6.3,100766
49046,67.015,7.749,3127,7.8,345460
457799,16.273,7.011,3127,6.7,113460
543540,15.846,6.463,3125,5.8,
353616,21.241,6.538,3124,5.8,79736
725201,39.333,6.979,3124,6.5,278309
458423,25.164,7.126,3120,6.6,
456740,30.834,5.554,3119,5.3,108375
512196,18.181,6.304,3118,6.2,97296
258230,"17,74",7.263,3118,7.4,99714
340102,26.231,6.1,3106,,103535
400650,17.19,6.5,3101,6.6,101806
429197,10.687,7.051,3086,7.2,176523
899082,39.8,7.302,3084,8.0,50525
278924,29.25,5.972,3083,5.8,104889
522402,39.312,7.938,3081,6.9,113574
381289,30.263,7.615,,7.3,87769
438148,81.377,7.379,3060,6.5,
718789,53.066,7.1,3053,,138592
259694,25.223,6.246,3048,6.1,100157
505026,40.295,6.463,3039,6.3,215126
499932,15.215,7.219,3036,7.1,
458576,40.804,6.647,3023,5.2,76048
384521,19.542,55.940000000000005,2993,5.5,122496
157433,24.949,5.723,2966,5.7,106542
752623,53.326,6.6,2964,6.1,
298618,480.393,6.898,2959,6.6,251763
617653,30.646,7.466,2953,7.3,210075
393519,20.532,7.061,2935,6.9,97501
504949,15.088,7.16,2922,7.3,182529
785084,54.977,7.949,2917,7.6,309782
180863,21.127,6.946,2916,7.1,142721
399361,22.251,6.292,2903,6.5,163448
455980,19.098,6.7,2869,6.5,
514847,26.615,6.654,,6.6,158172
173897,2.151,6.108,2860,5.5,109955
511987,32.163,6.312,2858,6.1,
531309,29.142,6.106,2857,6.1,122687
382591,"15,172",7.749,2841,7.3,30510
378236,26.716,5.488,2832,3.5,81101
68730,28.9,7.119,2822,7.2,135908
443791,20.152,6.298,2813,5.9,110137
576845,24.18,7.375,2812,7.0,202114
588228,103.895,7.572,2806,6.6,257434
412117,"36,117",6.969,2790,6.4,79866
614934,38.867,7.593,2789,7.3,264558
